season,franchise_key,team_name,espn_team_id,regular_wins,regular_losses,regular_ties,regular_points_for,regular_points_against,playoff_wins,playoff_losses,final_place,is_champion,is_runner_up,source,source_note
2012,the-penguins,The Penguins,,4,9,0,1247.34,1328.5,0,0,8,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2012,cte-deniers,Boston Double Rainbows,,5,8,0,1231.9,1367.32,0,0,9,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2012,p-rivers-nas-nas,P RIVERS NAS NAS,,4,9,0,1294.04,1443.66,0,0,10,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2013,bubbs,New York Bubbs,,10,3,0,1514.75,1351.9,2,0,1,yes,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 2 seed, playoff record derived from the 6-team bracket"
2013,cte-deniers,Boston Double Rainbows,,11,2,0,1661.35,1331.4,1,1,2,no,yes,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 1 seed, playoff record derived from the 6-team bracket"
2013,p-rivers-nas-nas,P RIVERS NAS NAS,,6,7,0,1362.65,1340.6,1,1,3,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 5 seed, playoff record derived from the 6-team bracket"
2013,penthouse-panda-bear,The Penthouse Panda Bear,,7,6,0,1505.3,1361.35,1,1,4,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 3 seed, playoff record derived from the 6-team bracket"
2013,run-and-hide,Run and Hide,,5,8,0,1352.95,1500,0,1,5,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 6 seed, playoff record derived from the 6-team bracket"
2013,brightleaf-yuppies,Brightleaf Yuppies,,7,6,0,1368.05,1391.65,0,1,6,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 4 seed, playoff record derived from the 6-team bracket"
2013,your-worst-nightmares,Your Worst Nightmares,,5,8,0,1334.1,1354.7,0,0,7,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2013,taco-macarthur,Discount Double Check!,,4,9,0,1161.7,1352.4,0,0,8,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2013,the-penguins,The Penguins,,5,8,0,1343.9,1452.95,0,0,9,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2013,raleigh-silly-nannies,W. Durham Silly Nannies,,5,8,0,1305.95,1473.75,0,0,10,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2014,bubbs,Austin Bubbs,,8,5,0,1526.5,1235.1,3,0,1,yes,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 3 seed, playoff record derived from the 6-team bracket"
2014,cte-deniers,Boston Double Rainbows,,9,4,0,1517.95,1283.45,1,1,2,no,yes,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 1 seed, playoff record derived from the 6-team bracket"
2014,the-penguins,The Penguins,,8,5,0,1579.55,1443,0,1,3,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 2 seed, playoff record derived from the 6-team bracket"
2014,brightleaf-yuppies,Brightleaf Yuppies,,7,6,0,1289.9,1386.95,1,1,4,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 5 seed, playoff record derived from the 6-team bracket"
2014,raleigh-silly-nannies,W. Durham Silly Nannies,,6,7,0,1462.9,1442.6,0,1,5,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 6 seed, playoff record derived from the 6-team bracket"
2014,taco-macarthur,Discount Double Check!,,7,6,0,1454.25,1431.55,0,1,6,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 4 seed, playoff record derived from the 6-team bracket"
2014,penthouse-panda-bear,The Penthouse Panda Bear,,6,7,0,1328.65,1428.5,0,0,7,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
